model,num_ctx,n,prompt_tokens_median,gen_tps_median,gen_tps_q1,gen_tps_q3,ttft_ms_median,ttft_ms_q1,ttft_ms_q3,vram_peak_mb_median,power_avg_w_median,j_per_token_median,gpu_offload_pct_median
phi3.5,512,10,140,20.65,20.62,20.80,182.6,166.2,183.4,2324,nan,nan,100
phi3.5,2048,10,140,16.73,16.52,16.85,196.0,186.4,201.2,2682,nan,nan,89
phi3.5,8192,10,140,8.73,8.68,8.78,184.8,179.4,190.9,2644,nan,nan,41
phi4,512,10,117,2.11,2.11,2.12,781.9,734.8,883.2,2538,nan,nan,28
phi4,2048,10,117,2.13,2.13,2.13,743.1,727.6,826.4,2614,nan,nan,28
phi4,8192,10,117,2.07,2.06,2.07,757.1,737.9,760.4,2652,nan,nan,25
qwen2.5-coder:7b,512,10,136,4.85,4.83,4.87,1012.1,884.5,1060.7,2690,nan,nan,49
qwen2.5-coder:7b,2048,10,136,4.60,4.60,4.61,845.4,777.5,904.2,2588,nan,nan,47
qwen2.5-coder:7b,8192,10,136,4.51,4.48,4.52,815.3,692.3,878.5,2632,nan,nan,46
qwen2.5:1.5b,512,10,136,42.92,42.65,43.22,772.0,755.3,822.5,1062,nan,nan,100
qwen2.5:1.5b,2048,10,136,42.39,42.18,42.77,770.6,736.0,789.7,1104,nan,nan,100
qwen2.5:1.5b,8192,10,136,42.21,42.11,42.35,766.8,737.7,806.9,1348,nan,nan,100
