model,num_ctx,n,prompt_tokens_median,gen_tps_median,gen_tps_q1,gen_tps_q3,ttft_ms_median,ttft_ms_q1,ttft_ms_q3,vram_peak_mb_median,power_avg_w_median,j_per_token_median,gpu_offload_pct_median
phi3.5,512,10,140,20.29,20.12,20.36,126.1,125.3,127.5,2324,nan,nan,100
phi3.5,2048,10,140,12.66,12.41,12.83,240.4,232.0,251.4,2682,nan,nan,89
phi3.5,8192,10,140,3.82,3.80,3.85,389.9,331.6,402.5,2644,nan,nan,41
phi4,512,10,117,1.99,1.99,1.99,1024.7,910.8,1133.7,2538,nan,nan,28
phi4,2048,10,117,2.00,1.99,2.00,1052.1,949.9,1217.0,2614,nan,nan,28
phi4,8192,1,117,0.02,0.02,0.02,34304.2,34304.2,34304.2,2652,nan,nan,25
qwen2.5-coder:7b,512,10,136,3.32,3.29,3.32,1232.0,1173.9,1280.8,2690,nan,nan,49
qwen2.5-coder:7b,2048,10,136,3.22,3.18,3.27,1251.6,1199.7,1365.4,2588,nan,nan,47
qwen2.5-coder:7b,8192,10,136,3.24,3.21,3.27,1250.8,1190.0,1340.6,2632,nan,nan,46
qwen2.5:1.5b,512,10,136,41.94,41.78,42.12,476.7,473.1,518.0,1062,nan,nan,100
qwen2.5:1.5b,2048,10,136,41.45,41.05,41.72,622.1,491.8,710.3,1104,nan,nan,100
qwen2.5:1.5b,8192,10,136,40.56,40.14,41.02,682.4,500.9,797.8,1348,nan,nan,100
