model,task_id,passed,fail_reason,gen_tps,eval_count,total_ms,error
qwen2.5-coder:7b,HumanEval/0,1,,3.3493087919802362,165,55063.1468296051,
qwen2.5-coder:7b,HumanEval/1,1,,3.416214550782913,201,63148.733615875244,
qwen2.5-coder:7b,HumanEval/2,1,,3.8969125318711777,91,27259.272813796997,
qwen2.5-coder:7b,HumanEval/3,1,,3.787693069763204,54,18969.583749771118,
qwen2.5-coder:7b,HumanEval/4,1,,3.615560931342283,160,48705.153703689575,
qwen2.5-coder:7b,HumanEval/5,1,,3.7317077081629653,128,38480.47876358032,
qwen2.5-coder:7b,HumanEval/6,1,,3.4923977118986578,190,58826.76672935486,
qwen2.5-coder:7b,HumanEval/7,1,,3.72345957906254,105,32255.70821762085,
qwen2.5-coder:7b,HumanEval/8,1,,3.4304953974115286,160,51114.35604095459,
qwen2.5-coder:7b,HumanEval/9,1,,3.6612235537725315,143,43156.896114349365,
qwen2.5-coder:7b,HumanEval/10,0,AssertionError,3.385783208581841,193,62510.61511039734,
qwen2.5-coder:7b,HumanEval/11,1,,3.5085432858693286,103,33047.51801490784,
qwen2.5-coder:7b,HumanEval/12,1,,3.6786289861997794,118,36521.122455596924,
qwen2.5-coder:7b,HumanEval/13,1,,3.906209310319684,93,27454.08582687378,
qwen2.5-coder:7b,HumanEval/14,1,,3.8977044987404,79,23526.568174362183,
qwen2.5-coder:7b,HumanEval/15,1,,3.9909109852960585,84,24805.017232894897,
qwen2.5-coder:7b,HumanEval/16,1,,4.227881262645209,77,22050.82941055298,
qwen2.5-coder:7b,HumanEval/17,1,,3.4310817465726413,232,74092.06652641296,
qwen2.5-coder:7b,HumanEval/18,1,,3.5593029809290497,139,43187.562465667725,
qwen2.5-coder:7b,HumanEval/19,1,,3.5862311370386113,197,59266.89171791077,
qwen2.5-coder:7b,HumanEval/20,1,,3.43911240175513,257,81213.19556236267,
qwen2.5-coder:7b,HumanEval/21,1,,3.5081544376003824,164,51587.93497085571,
qwen2.5-coder:7b,HumanEval/22,1,,3.7368163783594204,105,32217.228412628174,
qwen2.5-coder:7b,HumanEval/23,1,,4.278133277505211,47,13838.082313537598,
qwen2.5-coder:7b,HumanEval/24,1,,4.081886313139255,80,22989.582538604736,
qwen2.5-coder:7b,HumanEval/25,1,,3.5060605502964237,189,59441.53428077698,
qwen2.5-coder:7b,HumanEval/26,0,AssertionError,3.8047649149262557,119,34900.22850036621,
qwen2.5-coder:7b,HumanEval/27,1,,4.242744376772672,68,18943.01462173462,
qwen2.5-coder:7b,HumanEval/28,1,,4.352307498667808,62,17534.482955932617,
qwen2.5-coder:7b,HumanEval/29,1,,3.909331467595018,99,29452.105283737183,
qwen2.5-coder:7b,HumanEval/30,1,,3.586662696331452,131,41351.96256637573,
qwen2.5-coder:7b,HumanEval/31,1,,3.5088043503559856,180,55842.22507476807,
qwen2.5-coder:7b,HumanEval/32,0,AssertionError,3.3460870707596118,401,128444.00215148926,
qwen2.5-coder:7b,HumanEval/33,1,,3.321354365351475,221,72251.71613693237,
qwen2.5-coder:7b,HumanEval/34,1,,3.807432153996701,82,25260.55073738098,
qwen2.5-coder:7b,HumanEval/35,1,,4.102488086893042,91,26192.280769348145,
qwen2.5-coder:7b,HumanEval/36,1,,3.659734002277675,133,40506.349086761475,
qwen2.5-coder:7b,HumanEval/37,1,,3.5004481302866797,192,59626.4431476593,
qwen2.5-coder:7b,HumanEval/38,1,,3.365362401194129,259,82596.0886478424,
qwen2.5-coder:7b,HumanEval/39,1,,3.4282483243293562,225,70088.4199142456,
qwen2.5-coder:7b,HumanEval/40,1,,3.394194547947144,219,70160.97736358643,
qwen2.5-coder:7b,HumanEval/41,1,,3.3271965738496703,159,53398.3268737793,
qwen2.5-coder:7b,HumanEval/42,1,,3.815227075854283,124,37329.25486564636,
qwen2.5-coder:7b,HumanEval/43,1,,3.5430401315419013,187,58494.29225921631,
qwen2.5-coder:7b,HumanEval/44,1,,3.4811558476992412,146,46340.71636199951,
qwen2.5-coder:7b,HumanEval/45,1,,4.941431681000936,56,14223.121881484985,
qwen2.5-coder:7b,HumanEval/46,1,,3.343786760385809,113,40247.52998352051,
qwen2.5-coder:7b,HumanEval/47,1,,3.6312434887265197,140,42803.06839942932,
qwen2.5-coder:7b,HumanEval/48,1,,4.02154226764663,78,23204.121828079224,
qwen2.5-coder:7b,HumanEval/49,1,,3.6882694273901206,128,39635.2961063385,
qwen2.5-coder:7b,HumanEval/50,1,,3.5942737083261496,123,38346.137285232544,
qwen2.5-coder:7b,HumanEval/51,1,,3.3703912049756144,147,48357.51986503601,
qwen2.5-coder:7b,HumanEval/52,1,,3.3882566125702662,94,31895.524978637695,
qwen2.5-coder:7b,HumanEval/53,1,,4.617384183344112,62,16713.579177856445,
qwen2.5-coder:7b,HumanEval/54,1,,4.348529332106544,46,16333.765745162964,
qwen2.5-coder:7b,HumanEval/55,1,,3.756504088015574,88,26700.135707855225,
qwen2.5-coder:7b,HumanEval/56,1,,3.671582456628285,72,23700.89030265808,
qwen2.5-coder:7b,HumanEval/57,1,,3.7540402415406158,106,32246.390342712402,
qwen2.5-coder:7b,HumanEval/58,1,,3.693840903460558,134,41020.99275588989,
qwen2.5-coder:7b,HumanEval/59,1,,3.5101257127034753,172,52646.074056625366,
qwen2.5-coder:7b,HumanEval/60,1,,3.4969787269458763,120,38790.34113883972,
qwen2.5-coder:7b,HumanEval/61,1,,3.562579597548896,145,44287.61339187622,
qwen2.5-coder:7b,HumanEval/62,1,,3.7178794031374798,126,38295.231103897095,
qwen2.5-coder:7b,HumanEval/63,1,,3.707275279269244,94,31031.19444847107,
qwen2.5-coder:7b,HumanEval/64,0,AssertionError,3.373032199927054,235,74428.01189422607,
qwen2.5-coder:7b,HumanEval/65,0,AssertionError,3.613572091449012,137,42059.11326408386,
qwen2.5-coder:7b,HumanEval/66,1,,3.91160339596019,25,11224.629640579224,
qwen2.5-coder:7b,HumanEval/67,1,,3.210794677054243,263,89781.02254867554,
qwen2.5-coder:7b,HumanEval/68,1,,3.369436891853059,399,128053.3378124237,
qwen2.5-coder:7b,HumanEval/69,1,,5.10268635609357,49,15939.175367355347,
